0.6383,0.0466,-0.01451,0.1111,0.0256,0.0774,0.0443,0.0611,0.0397,-0.00089,0.0435,0.0047,0.0372,-0.03318,-0.01379,0.0194,0.0489,0.0612,0.0658,0.072,0.0434,0.1045,0.081,0.0369,0.0958,0.0784,0.0623,0.0818,0.0542,0.0874,0.0693,0.0754,0.0224,0.0727,0.0825,0.0488,0.0575,0.0814,0.0665,0.0428,0.067,-0.00693,0.0447,0.0706,0.067,0.0726,0.0714,0.0271,0.0617,0.0663,0.0971,-0.00245,0.0024,0.0517,0.0554,0.0223,0,0.0575,0.1026,0.0402,0.0485,0.0152,0.0477,0.0489,0.0513,0.0373,0.0789,0.0417,0.0096,0.0505,0.0672,-0.00679,0.0772,0.0767,0.1094,0.0667,0.0767,0.0214,0.0622,0.0135,0.1048,0.124,0.1165,0.0939,0.0846,0.141,0.0128,0.0439,0.0706,0.1526,0.098,0.1061,0.0274,0.065,0.0275,0.0847,0.0682,0.0595,0.0623,0.082,0.0849,0.0534,0.074,0.0223,0.0435,0.1386,0.1699,0.0448,-0.02352,0.072
0.85106,-0.02608,-0.09282,-0.0021,-0.02339,0.0071,-0.03415,-0.02483,-0.03104,-0.06149,-0.02803,-0.06919,-0.02885,-0.11654,-0.09123,-0.03543,-0.05267,-0.00588,-0.01861,-0.0371,-0.03637,0.0547,0.0227,-0.04209,0.0255,-0.01957,-0.01021,0.0039,-0.01366,0.01,0.0044,-0.00123,-0.04802,0.0003,0.0089,-0.02124,-0.01139,0.0021,-0.01084,-0.04616,-0.02762,-0.06261,-0.03457,-0.01658,-0.01659,-0.01575,0.0364,-0.08201,-0.01485,-0.01876,-0.00027,-0.07069,-0.07057,-0.04703,-0.02342,-0.0624,-0.0566,-0.02454,0.0078,-0.04926,-0.02789,-0.04961,-0.03481,-0.01327,-0.00839,-0.02508,0.0206,-0.05215,-0.10019,0.0176,0.0091,-0.07064,-0.03511,-0.04303,-0.01217,-0.02927,-0.00165,-0.07801,-0.02298,-0.03181,0.0021,0.0541,0.0149,0.0152,0.014,0.0399,-0.0487,-0.03154,-0.02206,0.0566,0.0457,0.0075,-0.07698,0.0134,-0.04351,0.0232,-0.02793,-0.04562,0.0129,-0.01638,-0.00951,-0.03921,-0.01223,-0.06007,-0.02361,0.0432,0.1128,-0.04069,-0.07045,0.0028
1.0638,-0.06823,-0.12941,-0.07464,-0.04202,-0.04081,-0.07306,-0.06833,-0.06666,-0.08805,-0.06319,-0.10336,-0.05182,-0.12942,-0.12205,-0.042,-0.10205,-0.0248,-0.05711,-0.09752,-0.08637,0.0212,-0.01678,-0.07609,-0.02055,-0.06078,-0.0499,-0.04162,-0.05367,-0.03408,-0.03916,-0.04621,-0.08857,-0.04161,-0.03374,-0.05911,-0.0566,-0.0438,-0.05676,-0.09257,-0.06522,-0.06874,-0.06472,-0.06517,-0.04263,-0.06812,0.0168,-0.13507,-0.03196,-0.0543,-0.05096,-0.09376,-0.08752,-0.10513,-0.05853,-0.08563,-0.07309,-0.06212,-0.06153,-0.09074,-0.06673,-0.0552,-0.0803,-0.05087,-0.04139,-0.05098,-0.00393,-0.10836,-0.12969,0.014,-0.01124,-0.09837,-0.09951,-0.10712,-0.10331,-0.07448,-0.04675,-0.10035,-0.05691,-0.05085,-0.07694,-0.00349,-0.0403,-0.05007,-0.02535,-0.02686,-0.07299,-0.06256,-0.07099,-0.01212,0.0256,-0.06877,-0.13014,-0.01757,-0.05163,-0.00747,-0.07986,-0.09814,-0.01119,-0.07956,-0.07532,-0.08707,-0.07393,-0.09142,-0.05009,-0.02674,0.0527,-0.08859,-0.07436,-0.05411
1.2766,-0.05368,-0.08881,-0.06275,-0.01716,-0.03881,-0.05099,-0.05405,-0.04666,-0.06455,-0.03903,-0.07331,-0.024,-0.06741,-0.09239,-0.00038,-0.07909,0.0234,-0.02558,-0.07194,-0.07159,0.0207,-0.01597,-0.04049,-0.01314,-0.02159,-0.0341,-0.02694,-0.04007,-0.01771,-0.03587,-0.03283,-0.07502,-0.02934,-0.02097,-0.03983,-0.05182,-0.02874,-0.04306,-0.07382,-0.03337,-0.02124,-0.03091,-0.05213,-0.0028,-0.05744,0.0156,-0.09579,0.0067,-0.02339,-0.03034,-0.05633,-0.04357,-0.09423,-0.03295,-0.03686,-0.04394,-0.02977,-0.06922,-0.06071,-0.04636,-0.00914,-0.07488,-0.03998,-0.02526,-0.02748,0.0065,-0.09413,-0.07402,0.0414,0.0162,-0.08262,-0.09084,-0.08684,-0.10943,-0.03942,-0.03253,-0.03625,-0.02393,-0.03119,-0.08877,-0.01224,-0.02444,-0.06864,-0.01987,-0.01071,-0.0495,-0.03436,-0.04742,-0.02383,0.0482,-0.07257,-0.10424,-0.01013,0.0033,0.0034,-0.05305,-0.07041,0,-0.07126,-0.07547,-0.06919,-0.07404,-0.05108,-0.02205,-0.03175,0.0271,-0.07175,-0.03174,-0.06243
1.4894,-0.01597,-0.01024,-6e-05,0.013,-0.00915,-0.00957,-0.02074,-0.00979,-0.02912,0.0063,-0.01795,0.0099,0.0041,-0.04377,0.0358,-0.03152,0.087,0.0303,-0.00457,-0.01648,0.0242,0.0015,0.02,0.0207,0.0386,0.0017,0.0133,-0.00484,0.0233,-0.01274,0.0044,-0.04037,0.0033,0.0124,0.0014,-0.0254,0.0113,-0.0052,-0.03311,0.0125,0.0288,0.0184,-0.01351,0.0458,-0.01534,0.0021,-0.00798,0.0433,0.0246,0.017,-0.00474,0.0093,-0.04788,0.0058,0.0316,-0.01311,0.0279,-0.03974,-0.0035,-0.0044,0.0246,-0.05498,-0.00639,0.0096,0.0084,0.0073,-0.04418,-0.00676,0.0589,0.0485,-0.0621,-0.05033,-0.02842,-0.0555,0.032,0.0092,0.0439,0.0247,-0.00614,-0.05396,0.0095,0.0108,-0.05898,-0.00476,0.0529,-0.01899,0.0093,0.0105,-0.00617,0.076,-0.02732,-0.04698,0.006,0.0546,0.0188,0.0068,-0.01138,0.0113,-0.02466,-0.03694,-0.02482,-0.03668,0.0093,0.0178,-0.00325,0.0242,-0.02717,0.0108,-0.03595
1.7021,0.0001,0.0425,0.0513,0.011,0.0149,0.0035,-0.00562,0.0003,-0.02144,0.026,0.0112,0.0132,0.026,-0.01625,0.0273,-0.01037,0.1038,0.0551,0.0364,0.0335,0.0048,0.0085,0.047,0.0436,0.0515,0.0144,0.0315,0.0087,0.0409,-0.00543,0.0201,-0.02613,0.0151,0.0233,0.0187,-0.01535,0.0282,0.0096,-0.02077,0.019,0.036,0.0342,0.0113,0.0518,0.0161,-0.03601,0.0574,0.0353,0.0365,0.0364,0.0107,0.0237,-0.01265,0.0093,0.0685,-0.01549,0.0517,-0.01442,0.0233,0.0143,0.0011,-0.05263,0.0135,0.0254,0.0199,-0.02763,-0.01269,0.005,0.0365,0.0448,-0.06804,-0.02521,0.0081,-0.00385,0.0782,0.0344,0.068,0.0354,-0.00654,-0.01841,0.0259,0.0075,-0.05118,-0.0119,0.094,-0.0177,0.023,0.0506,0.0051,0.0749,0.012,-0.01936,0.0015,0.0469,0.0109,0.0322,0.0183,-0.00489,0.007,-0.00644,0.003,-0.00476,0.0284,0.0266,0.0093,0.0155,-0.00214,0.0148,-0.00676
1.9149,-0.01769,0.0395,0.0569,-0.02166,0.0201,-0.01892,-0.00909,-0.02121,-0.04301,0.0099,-0.00201,-0.00612,-0.00136,-0.01089,-0.01063,-0.02177,0.0583,0.036,0.0225,0.0512,-0.02898,0.0029,0.0228,0.0457,0.0084,-0.00429,0.0138,-0.0109,0.0223,-0.02112,0.0031,-0.04017,-0.00182,0.0034,0.0004,-0.03026,0.0092,-0.01002,-0.04419,-0.01308,0.0019,0.0144,0.0183,0.0177,0.023,-0.07222,0.0621,-0.00708,0.0047,0.0139,-0.01719,-0.00278,-0.00673,-0.02177,0.0659,-0.04197,0.023,-0.01054,0.0007,-8e-05,-0.0629,-0.06322,0.0063,0.0135,0.0044,-0.07311,-0.02207,-0.03787,-0.01296,0.0058,-0.09213,-0.02341,0.0027,0.0055,0.0731,0.0261,0.0254,0.0035,-0.02778,-0.00895,0.0204,-0.03815,-0.05165,-0.03597,0.074,-0.03921,0.0024,0.0534,0.0027,0.0482,0.0141,-0.03645,-0.01907,-0.00984,-0.00714,0.0006,0.0056,-0.03656,0.0009,-0.00523,0.0081,0.003,-0.00658,0.0023,-0.0085,-0.00899,-0.00714,-0.01296,0.0068
2.1277,-0.04587,0.002,0.0277,-0.05207,0.0136,-0.04725,-0.00741,-0.04411,-0.06366,-0.01569,-0.03256,-0.0143,-0.03248,-0.00184,-0.03126,-0.03526,-0.00984,0.0033,-0.01932,0.0383,-0.04439,0.0004,-0.02196,0.0413,-0.04037,-0.02877,-0.01574,-0.03891,-0.00733,-0.03914,-0.02269,-0.05715,-0.02346,-0.02198,-0.0289,-0.04916,-0.02026,-0.03683,-0.06956,-0.03951,-0.03615,-0.00549,0.0271,-0.01473,0.0195,-0.07014,0.0209,-0.04166,-0.03682,-0.02366,-0.05491,-0.03608,-0.01729,-0.04576,0.0473,-0.05646,-0.02726,-0.01631,-0.04399,-0.02427,-0.11394,-0.06136,-0.01481,-0.00719,-0.01497,-0.08162,-0.05068,-0.08039,-0.04821,-0.03379,-0.10061,-0.02114,-0.02179,-0.01863,0.0361,-0.00209,-0.03636,-0.03216,-0.03997,-0.01918,0.0025,-0.07899,-0.04353,-0.0464,0.0109,-0.04723,-0.02266,0.0354,0.0019,0.026,-0.00903,-0.06267,-0.02827,-0.05787,-0.00257,-0.04959,-0.01451,-0.05005,-0.02542,-0.02037,0.0124,-0.00044,-0.05644,-0.02475,-0.03095,-0.03404,-0.01637,-0.03617,0.0072
2.3404,-0.05648,-0.02619,-0.00302,-0.05349,0.0044,-0.05261,0.0117,-0.04104,-0.05778,-0.02233,-0.04597,0.0063,-0.03098,0.0259,-0.00961,-0.02626,-0.04536,-0.00928,-0.0418,0.0123,-0.02129,0.0107,-0.04578,0.0412,-0.04448,-0.03251,-0.02675,-0.04472,-0.01727,-0.03863,-0.02957,-0.05158,-0.0266,-0.02683,-0.04028,-0.04967,-0.0296,-0.04041,-0.06373,-0.02446,-0.04499,0.0024,0.0457,-0.01494,0.0218,-0.02569,-0.02352,-0.04213,-0.05262,-0.04395,-0.06579,-0.04446,-0.02521,-0.02802,0.03,-0.03803,-0.05469,-0.01358,-0.06821,-0.03352,-0.11721,-0.03762,-0.02902,-0.01793,-0.02085,-0.03641,-0.06113,-0.07563,-0.04049,-0.04145,-0.07072,-0.00224,-0.03562,-0.03841,0.0016,-0.0285,-0.06395,-0.03383,-0.02306,-0.02679,-0.01191,-0.0715,-0.01327,-0.02449,-0.04673,-0.01845,-0.02537,0.0193,0.0133,0.0307,-0.02502,-0.05612,-0.01024,-0.05484,0.0339,-0.06216,-0.00581,-0.03007,-0.04201,-0.02833,0.0294,0.0062,-0.07423,-0.02963,-0.02826,-0.03869,-0.00422,-0.03068,0.0055
2.5532,-0.04426,-0.01956,-0.01285,-0.03032,-0.0071,-0.03461,0.0332,-0.01487,-0.02872,-0.00748,-0.03079,0.0391,-0.00397,0.0582,0.0317,-0.00191,-0.02339,0.0019,-0.02365,-0.00923,0.0261,0.0253,-0.03562,0.0369,-0.00664,-0.0139,-0.01243,-0.0214,-0.00169,-0.01993,-0.01397,-0.02454,-0.01227,-0.01045,-0.02862,-0.0305,-0.0133,-0.01787,-0.02865,0.0228,-0.02235,0.0285,0.0561,0.0078,0.0307,0.0253,-0.03959,-0.01951,-0.03766,-0.03863,-0.04145,-0.02381,-0.02474,0.0234,0.0082,-0.00109,-0.04266,0.0021,-0.05086,-0.02499,-0.08454,-0.01127,-0.02529,-0.01889,-0.01801,0.0289,-0.03701,-0.02879,0.002,-0.01379,-0.01066,0.0201,-0.03362,-0.02652,-0.01311,-0.0428,-0.04463,-0.00036,0.0125,-0.01775,-0.01714,-0.01945,0.0295,0.0159,-0.06435,0.0316,-0.0072,0.0115,0.0291,0.0555,-0.01527,-0.01241,0.0205,-0.01549,0.0737,-0.01849,0.0278,0.0028,-0.03622,-0.02012,0.0447,0.0279,-0.04881,-0.01669,-0.00046,-0.01801,0.0256,-0.00711,0.0076
